,'File' Attachments,Edition,Issue,Date,Newspaper,Notes,Place Published,Location,Record Number,Reference Type,Reporter,Short Title,Title,Year,Reference Type,Archive
388,"internal-pdf://1431742587/Santa Fe daily New Mexican, September 08, 1892.pdf",,,"September 08, 1892",Santa Fe daily New Mexican,Same event is referenced in the issue from September 3,"Mr. Goebel’s store room, Catron block","Santa Fe, New Mexico",6407, Newspaper Article,,Ladies of the Methodist church,Ladies of the Methodist church,"September 08, 1892",,LOC Conundrum Supper
389,"internal-pdf://1669475776/Santa Fe new Mexican, March 22, 1898.pdf",,,"March 22, 1898",Santa Fe new Mexican,,N/A,"Santa Fe, New Mexico",6406, Newspaper Article,,Christian Endeavor society in Raton,Christian Endeavor society in Raton,"March 23, 1898",,LOC Conundrum Supper
390,"internal-pdf://1982980243/The Scranton Tribune, February 18, 1895.pdf",,,"February 18, 1895",The Scranton Tribune,,Methodist Episcopal Church,"Scranton, Pennsylvania",5974, Newspaper Article,,Methodist Episcopal Church,Methodist Episcopal Church,"February 14, 1895",,LOC Conundrum Supper
391,"internal-pdf://2555908875/The Scranton Tribune, February 22, 1902.pdf",,,22-Feb-02,The Scranton Tribune,Also mentioned February 24.,First Welsh Congregational Church,"Scranton, Pennsylvania",5976, Newspaper Article,,N/A,N/A,22-Feb-02,,LOC Conundrum Supper
392,"internal-pdf://0500759460/The Scranton Tribune, January 01, 1894.pdf",,,"January 01, 1894",The Scranton Tribune,,Park Place Methodist episcopal church,"Scranton, Pennsylvania",5972, Newspaper Article,,Jack Frost,Jack Frost,"January 01/02, 1894",,LOC Conundrum Supper
393,"internal-pdf://3757434680/The Scranton Tribune, January 12, 1901.pdf",,,12-Jan-01,The Scranton Tribune,,First Baptist Church,"Scranton, Pennsylvania",5977, Newspaper Article,,The Ladies Aid Society of the First Baptist Church,The Ladies Aid Society of the First Baptist Church,19-Jan-01,,LOC Conundrum Supper
394,"internal-pdf://2778691652/The Scranton Tribune, July 26, 1894.pdf",,,"July 26, 1894",The Scranton Tribune,,Home of Mrs. W. S. Bloes,"Scranton, Pennsylvania",5973, Newspaper Article,,Young People’s Society of the Presbyterian Church,Young People’s Society of the Presbyterian Church,"July 23, 1894",,LOC Conundrum Supper
395,"internal-pdf://3581805845/The Seattle Star, April 27, 1901.pdf",,,27-Apr-01,The Seattle Star,,N/A,"Seattle, Washington",6429, Newspaper Article,,Daughters of Rebekah,Daughters of Rebekah,25-Apr-01,,LOC Conundrum Supper
396,"internal-pdf://0501772887/The Sedalia weekly bazoo, December 26, 1893.pdf",,,,The Sedalia weekly bazoo,"December 26, 1893",N/A,"Boonville, Missouri",6289, Newspaper Article,,N/A,N/A,N/A,,LOC Conundrum Supper
397,"internal-pdf://1312630443/Shenandoah Herald, November 20, 1908.pdf",,,20-Nov-08,Shenandoah Herald,Also mentioned November 27.,Jr. O. U. A. M. Hall,"Woodstock, Virginia",6380, Newspaper Article,,Y.M.C.A.,Y.M.C.A.,28-Nov-08,,LOC Conundrum Supper
398,"internal-pdf://0995706885/The silver blade, March 06, 1903.pdf",,,6-Mar-03,The silver blade,Contains eBOF; Same event is referenced in the issue from March 13,Hart’s hall,"Rathdrum, Idaho",6080, Newspaper Article,,The Royal Neighbors,The Royal Neighbors,14-Mar-03,,LOC Conundrum Supper
399,"internal-pdf://0304089164/South Bend news-times, April 20, 1915.pdf",,,20-Apr-15,South Bend news-times,Same event is referenced in the issues from April 21 and April 22,K. of P. hall,"South Bend, Indiana",6190, Newspaper Article,,Pelton Camp No. 4788,Pelton Camp No. 4788,21-Apr-15,,LOC Conundrum Supper
400,"internal-pdf://1253207670/South Bend news-times, February 18, 1922.pdf",,,18-Feb-22,South Bend news-times,,"Residence of Mr. and Mrs. Harry Burns, 918 Lawndale av.","South Bend, Indiana",6090, Newspaper Article,,Mr. and Mrs. Harry Burns,Mr. and Mrs. Harry Burns,16-Feb-22,,LOC Conundrum Supper
401,"internal-pdf://2260289376/St Helen’s Mist, June 11, 1915.pdf",,,11-Jun-15,St Helen’s Mist,,N/A,"St Helen’s, Oregon",5965, Newspaper Article,`,Ladies’ Aid of the MF Church of Houlton,Ladies’ Aid of the MF Church of Houlton,9-Jun-15,,LOC Conundrum Supper
402,"internal-pdf://3456866949/St Johnsbury Caledonian, September 27, 1911.pdf",,,27-Sep-11,St Johnsbury Caledonian,Menu included,Home of Mr and Mrs OB Exley,"St. Johnsbury, Vermont",6105, Newspaper Article,,Ladies of the Village Improvement Society,Ladies of the Village Improvement Society,22-Sep-11,,LOC Conundrum Supper
403,"internal-pdf://1101513924/St. Johns herald and Apache news, March 27, 19.pdf",,,27-Mar-13,St. Johns herald and Apache news,,Knight Hall,"St. Johns, Arizona",6010, Newspaper Article,,Students of the academy,Students of the academy,21-Mar-13,,LOC Conundrum Supper
404,"internal-pdf://0661761150/St. Johnsbury Caledonian, April 01, 1903.pdf",,,1-Apr-03,St. Johnsbury Caledonian,,Valley Lodge,"St. Johnsbury, Vermont",6111, Newspaper Article,,IOGT,IOGT,1-Apr-03,,LOC Conundrum Supper
405,"internal-pdf://3922957434/St. Johnsbury Caledonian, March 24, 1909.pdf",,,24-Mar-09,St. Johnsbury Caledonian,,Parsonage,"St. Johnsbury, Vermont",6108, Newspaper Article,,Ladies’ Union,Ladies’ Union,1-Apr-09,,LOC Conundrum Supper
406,"internal-pdf://3351946599/St. Johnsbury Caledonian, March 29, 1894.pdf",,,"March 29, 1894",St. Johnsbury Caledonian,Also mentioned April 05.,N/A,"St. Johnsbury, Vermont",6340, Newspaper Article,,Woman’s Relief Corps,Woman’s Relief Corps,"April 03, 1894",,LOC Conundrum Supper
407,"internal-pdf://2383132803/St Johnbusy Caledonian, April 1, 1903 (2).pdf",,,1-Apr-03,St. Johnsbury Caledonian,,Church Parlors,"St. Johnsbury, Vermont",6112, Newspaper Article,,Epworth League,Epworth League,3-Apr-03,,LOC Conundrum Supper
408,"internal-pdf://2039723617/St. Johnsbury Caledonian, August 06, 1891.pdf",,,"August 06, 1891",St. Johnsbury Caledonian,,N/A,"St. Johnsbury, Vermont",6332, Newspaper Article,,Christian Endeavor Society,Christian Endeavor Society,"August 07, 1891",,LOC Conundrum Supper
409,"internal-pdf://1943003492/St. Johnsbury Caledonian, September 03, 1891.pdf",,,"September 03, 1891",St. Johnsbury Caledonian,,N/A,"St. Johnsbury, Vermont",6334, Newspaper Article,,YPSMW,YPSMW,"August 28, 1891",,LOC Conundrum Supper
410,"internal-pdf://2860117064/St. Johnsbury Caledonian, December 24, 1891.pdf",,,"December 24, 1891",St. Johnsbury Caledonian,,Congregational church,"St. Johnsbury, Vermont",6335, Newspaper Article,,Ladies of the Congregational Church,Ladies of the Congregational Church,"December 19, 1891",,LOC Conundrum Supper
411,"internal-pdf://4131174014/St. Johnsbury Caledonian, February 03, 1909.pdf",,,3-Feb-09,St. Johnsbury Caledonian,,Home of LJ Hovey,"St. Johnsbury, Vermont",6107, Newspaper Article,,Young People,Young People,2-Feb-09,,LOC Conundrum Supper
412,"internal-pdf://0552910251/St. Johnsbury Caledonian, February 09, 1910.pdf",,,9-Feb-10,St. Johnsbury Caledonian,,N/A,"St. Johnsbury, Vermont",6110, Newspaper Article,,Ladies of the Baptist Church,Ladies of the Baptist Church,4-Feb-10,,LOC Conundrum Supper
413,"internal-pdf://1242608870/St. Johnsbury Caledonian, February 05, 1908.pdf",,,5-Feb-08,St. Johnsbury Caledonian,Also mentioned February 12.,Methodist Church,"St. Johnsbury, Vermont",6103, Newspaper Article,,Methodist Church,Methodist Church,5-Feb-08,,LOC Conundrum Supper
414,"internal-pdf://1968217462/St. Johnsbury Caledonian, February 09, 1893.pdf",,,"February 09, 1893",St. Johnsbury Caledonian,,Town Hall,"St. Johnsbury, Vermont",6337, Newspaper Article,,Library Association,Library Association,"February 10, 1893",,LOC Conundrum Supper
415,"internal-pdf://3333574074/St. Johnsbury Caledonian, February 21, 1896.pdf",,,"February 21, 1896",St. Johnsbury Caledonian,Also mentioned February 14; Menu included.,Grand Army Hall,"St. Johnsbury, Vermont",6117, Newspaper Article,,The Rector’s Aid society of St. Andrew’s church,The Rector’s Aid society of St. Andrew’s church,"February 14, 1896",,LOC Conundrum Supper
416,"internal-pdf://1336092621/St. Johnsbury Caledonian, February 18, 1892.pdf",,,"February 18, 1892",St. Johnsbury Caledonian,Also mentioned February 25.,Grange Hall,"St. Johnsbury, Vermont",6336, Newspaper Article,,The Epworth League,The Epworth League,"February 18, 1892",,LOC Conundrum Supper
417,"internal-pdf://1272796157/St. Johnsbury Caledonian, February 15, 1894.pdf",,,"February 15, 1894",St. Johnsbury Caledonian,,Schoool house hall,"St. Johnsbury, Vermont",6339, Newspaper Article,,N/A,N/A,"February 22, 1894",,LOC Conundrum Supper
418,"internal-pdf://2803342345/St. Johnsbury Caledonian, February 21, 1906.pdf",,,21-Feb-06,St. Johnsbury Caledonian,,Vestry of the Methodist church,"St. Johnsbury, Vermont",6116, Newspaper Article,,Ladies’ Aid,Ladies’ Aid,22-Feb-06,,LOC Conundrum Supper
419,"internal-pdf://0501772888/St. Johnsbury Caledonia, January 03, 1912.pdf",,,3-Jan-12,St. Johnsbury Caledonian,,Church vestry,"St. Johnsbury, Vermont",6106, Newspaper Article,,C.E. Societies,C.E. Societies,4-Jan-12,,LOC Conundrum Supper
420,"internal-pdf://1486222840/St. Johnsbury Caledonian, January 08, 1908.pdf",,,8-Jan-08,St. Johnsbury Caledonian,,Home of Mr. ans Mrs. A.S. Babcock,"St. Johnsbury, Vermont",6102, Newspaper Article,,The Ladies’ Social Circle,The Ladies’ Social Circle,8-Jan-08,,LOC Conundrum Supper
421,"internal-pdf://1144522533/St. Johnsbury Caledonian, January 15, 1897.pdf",,,"January 15, 1897",St. Johnsbury Caledonian,,Church parlors,"St. Johnsbury, Vermont",6119, Newspaper Article,,Ladies of the Methodist Church,Ladies of the Methodist Church,"January 13, 1897",,LOC Conundrum Supper
422,"internal-pdf://2442186208/St. Johnsbury Caledonian, January 27, 1901.pdf",,,27-Jan-01,St. Johnsbury Caledonian,,Academy Hall,"St. Johnsbury, Vermont",6140, Newspaper Article,,N/A,N/A,25-Jan-01,,LOC Conundrum Supper
423,"internal-pdf://1498617645/St. Johnsbury Caledonian, March 6, 1896.pdf",,,"March 6, 1896",St. Johnsbury Caledonian,,South Church,"St. Johnsbury, Vermont",6118, Newspaper Article,,N/A,N/A,"March 6, 1896",,LOC Conundrum Supper
424,"internal-pdf://0653448034/St. Johnsbury Caledonian, March 21, 1906.pdf",,,21-Mar-06,St. Johnsbury Caledonian,,GW Lumsden’s,"St. Johnsbury, Vermont",6104, Newspaper Article,,N/A,N/A,16-Mar-06,,LOC Conundrum Supper
425,"internal-pdf://2577737060/St. Johnsbury Caledonian, March 15, 1905.pdf",,,15-Mar-05,St. Johnsbury Caledonian,,Church vestry,"St. Johnsbury, Vermont",6113, Newspaper Article,,Epworth League,Epworth League,17-Mar-05,,LOC Conundrum Supper
426,"internal-pdf://2886756949/St. Johnsbury Caledonian, March 31, 1909.pdf",,,31-Mar-09,St. Johnsbury Caledonian,,N/A,"St. Johnsbury, Vermont",6109, Newspaper Article,,Daughters of Liberty,Daughters of Liberty,27-Mar-09,,LOC Conundrum Supper
427,"internal-pdf://4265905639/St. Johnsbury Caledonian, May 24, 1916.pdf",,,24-May-16,St. Johnsbury Caledonian,,Grange Hall,"St. Johnsbury, Vermont",6098, Newspaper Article,,The Ways and Means Committee of the Grange,The Ways and Means Committee of the Grange,18-May-16,,LOC Conundrum Supper
428,"internal-pdf://2643543674/St. Johnsbury Caledonian, June 02, 1915.pdf",,,2-Jun-15,St. Johnsbury Caledonian,,N/A,"St. Johnsbury, Vermont",6114, Newspaper Article,,The Ladies Aid Society of the M.E. Church,The Ladies Aid Society of the M.E. Church,28-May-15,,LOC Conundrum Supper
429,"internal-pdf://4005446150/St. Johnsbury Caledonian, November 08, 1916.pdf",,,8-Nov-16,St. Johnsbury Caledonian,,N/A,"St. Johnsbury, Vermont",6099, Newspaper Article,,Village Improvement Society ,Village Improvement Society ,N/A,,LOC Conundrum Supper
430,"internal-pdf://2795514972/St. Johnsbury Caledonian, February 28, 1917.pdf",,,28-Feb-17,St. Johnsbury Caledonian,,N/A,"St. Johnsbury, Vermont",6100, Newspaper Article,,N/A,N/A,N/A,,LOC Conundrum Supper
431,"internal-pdf://2383229439/November 09, 1893, St. Johnsbury Caledonian.pdf",,,,St. Johnsbury Caledonian,,Town hall,"St. Johnsbury, Vermont",6338, Newspaper Article,,N/A,N/A,"November 14, 1893",,LOC Conundrum Supper
432,"internal-pdf://2863818118/St. Johnsbury Caledonian, November 20, 1901.pdf",,,20-Nov-01,St. Johnsbury Caledonian,Also mentioned November 27.,Academy Hall,"St. Johnsbury, Vermont",6331, Newspaper Article,,N/A,N/A,15-Nov-01,,LOC Conundrum Supper
433,"internal-pdf://0110613200/St. Johnsbury Caledonian, November 20, 1907.pdf",,,20-Nov-07,St. Johnsbury Caledonian,,N/A,"St. Johnsbury, Vermont",6101, Newspaper Article,,The Christian Endeavor Society,The Christian Endeavor Society,15-Nov-07,,LOC Conundrum Supper
434,"internal-pdf://0738393740/St. Johnsbury Caledonian, November 19, 1897.pdf",,,"November 19, 1897",St. Johnsbury Caledonian,,Free Baptist Church,"St. Johnsbury, Vermont",6341, Newspaper Article,,Christian Endeavor Society,Christian Endeavor Society,"November 23, 1897",,LOC Conundrum Supper
435,"internal-pdf://0304089166/St. Johnsbury Caledonian, November 28, 1900.pdf",,,28-Nov-00,St. Johnsbury Caledonian,Also mentioned December 05.,N/A,"St. Johnsbury, Vermont",6139, Newspaper Article,,N/A,N/A,29-Nov-00,,LOC Conundrum Supper
436,"internal-pdf://2542116721/St. Johnsbury Caledonian, August 27, 1891.pdf",,,"August 27, 1891",St. Johnsbury Caledonian,,Town Hall,"St. Johnsbury, Vermont",6333, Newspaper Article,,N/A,N/A,"September 03, 1891",,LOC Conundrum Supper
437,"internal-pdf://1307565981/St. Paul daily globe, April 19, 1891.pdf",,,"April 19, 1891",St. Paul daily globe,,Congregational chapel,"St. Anthony Park, Minnesota",6270, Newspaper Article,,Mrs. Passage,Mrs. Passage,"April 24, 1891",,LOC Conundrum Supper
438,"internal-pdf://0995706884/St. Paul daily globe, January 04, 1892.pdf",,,"January 04, 1892",St. Paul daily globe,Contains eBOF,"Residence of Mr. and Mrs. N.N. McFarran, 450 St. Anthony avenue","Saint Paul, Minnesota",6262, Newspaper Article,,St. James Episcopal church,St. James Episcopal church,"January 04, 1892",,LOC Conundrum Supper
439,"internal-pdf://1782280521/St. Paul daily globe, February 23, 1895.pdf",,,"February 23, 1895",St. Paul daily globe,,Atlantic Congregational church parlors,"St. Paul, Minnesota",6276, Newspaper Article,,N/A,N/A,"March 01, 1895",,LOC Conundrum Supper
440,"internal-pdf://4098439584/St. Paul daily globe, March 15, 1891.pdf",,,"March 15, 1891",St. Paul daily globe,,West Side Westminster Presbyterian church,"St. Paul, Minnesota",6268, Newspaper Article,,N/A,N/A,"March 20, 1891",,LOC Conundrum Supper
441,"internal-pdf://2379086067/St. Paul daily globe, May 10, 1891.pdf",,,"May 10, 1891",St. Paul daily globe,,N/A,"St. Pail, Minnesota",6271, Newspaper Article,,Epworth league of the Lester Park M.E. church,Epworth league of the Lester Park M.E. church,"May 19, 1891",,LOC Conundrum Supper
442,"internal-pdf://1065311702/St. Paul daily globe, May 25, 1890.pdf",,,"May 25, 1890",St. Paul daily globe,,Residence of Mrs. A.B. Robbins,"Merrian Park, Minnesota",6269, Newspaper Article,,Ladies of the Presbyterian church,Ladies of the Presbyterian church,"May 30, 1890",,LOC Conundrum Supper
443,"internal-pdf://1566288816/St. Paul daily globe, January 10, 1892.pdf",,,"January 10, 1892",St. Paul daily globe,,Residence of Mr. and Mrs. N.N. McFarren,"St. Paul, Minnesota",6277, Newspaper Article,,St. James’ Episcopal church,St. James’ Episcopal church,N/A,,LOC Conundrum Supper
444,"internal-pdf://2444348464/St. Paul daily globe, November 26, 1890.pdf",,,"November 26, 1890",St. Paul daily globe,Same event is referenced in the issue from November 28,N/A,"St. Paul, Minnesota",6267, Newspaper Article,,Ladies of Grace Congregational church,Ladies of Grace Congregational church,"November 27, 1890",,LOC Conundrum Supper
445,"internal-pdf://1927495991/St. Paul daily globe, September 13, 1891.pdf",,,"September 13, 1891",St. Paul daily globe,,N/A,"St. Paul, Minnesota",6278, Newspaper Article,,Ladies of All Souls’ Universalist church,Ladies of All Souls’ Universalist church,"September 10, 1891",,LOC Conundrum Supper
446,"internal-pdf://4059601688/The Star, April 03, 1901.pdf",,,3-Apr-01,The Star,,N/A,"Reynoldsville, Pennsylvania",5970, Newspaper Article,,N/A,N/A,12-Apr-01,,LOC Conundrum Supper
447,"internal-pdf://0692328376/The Star, January 09, 1907.pdf",,,9-Jan-07,The Star,,Grange Hall,"Reynoldsville, Pennsylvania",5978, Newspaper Article,,The Ladies of Paradise Grange,The Ladies of Paradise Grange,N/A,,LOC Conundrum Supper
448,"internal-pdf://1713258266/The Star-Independent, February 10, 1915,.pdf",,,"February 10, 1915,",The Star-Independent,,Home of Mrs Robert Harbarker,"Harrisburg, Pennsylvania",5966, Newspaper Article,,The Ladies’ Aid Society of the Methodist Church,The Ladies’ Aid Society of the Methodist Church,"February 12, 1915,",,LOC Conundrum Supper
449,"internal-pdf://0481928577/The Stark County Democrat, February 08, 1907.pdf",,,8-Feb-07,The Stark County Democrat,,N/A,"Sparta, Ohio",6422, Newspaper Article,,Ladies’ Aid society,Ladies’ Aid society,2-Feb-07,,LOC Conundrum Supper
450,"internal-pdf://3289099768/The State Rights Democrat, April 03, 1891.pdf",,,"April 03, 1891",The State Rights Democrat,Menu included. Mentioned in two places in the newspaper issue.,WCTU Hall,"Albany, Oregon",5947, Newspaper Article,,Epworth League of the M. E. Church,Epworth League of the M. E. Church,"April 04, 1891",,LOC Conundrum Supper
451,"internal-pdf://1748349612/The Sunday morning news, November 29, 1891.pdf",,,"November 29, 1891",The Sunday morning news,,Parlors of the Bergen Reformed Church,"Jersey City, New Jersey",6315, Newspaper Article,,Ladies’ Aid society,Ladies’ Aid society,"December 03, 1891",,LOC Conundrum Supper
452,"internal-pdf://3823058871/The Newport Miner, April 18, 1912.pdf",,,18-Apr-12,The Tacoma Times,,Church Parlors,"Tacoma, Washington",6395, Newspaper Article,,Epworth League of the Swedish M.E. Church,Epworth League of the Swedish M.E. Church,19-Apr-12,,LOC Conundrum Supper
453,"internal-pdf://1105816539/The Times Dispatch, November 26, 1904.pdf",,,26-Nov-04,The Times Dispatch,,Dubney’s Hall,"Richmond, Virginia",6392, Newspaper Article,,Central Council of Daughters of Liberty,Central Council of Daughters of Liberty,28-Nov-04,,LOC Conundrum Supper
454,"internal-pdf://1734575191/The Topeka state journal, January 28, 1899.pdf",,,"January 28, 1899",The Topeka state journal,Same event is referenced in the issue from February 08,Guild hall,"Topeka, Kansas",6197, Newspaper Article,,Ladies of the Cathedral Guild,Ladies of the Cathedral Guild,"February 02, 1899",,LOC Conundrum Supper
455,"internal-pdf://4206140842/The true northerner, May 11, 1892.pdf",,,"May 11, 1892",The true northerner,,N/A,"Deeatur, Michigan",6257, Newspaper Article,,Universalists,Universalists,"May 06, 1892",,LOC Conundrum Supper
456,"internal-pdf://4191799394/Turner County Herald, April 02, 1891.pdf",,,"April 02, 1891",Turner County Herald,Also mentioned April 09.,N/A,"Hurley, South Dakota",5989, Newspaper Article,,N/A,N/A,"April 03, 1891",,LOC Conundrum Supper
457,"internal-pdf://3729635688/The United Opinion, April 22, 1892.pdf",,,"April 22, 1892",The United Opinion,,N/A,"Bradford, Vermont",6375, Newspaper Article,,N/A,N/A,"April 22, 1892",,LOC Conundrum Supper
458,"internal-pdf://0093189435/The United Opinion, March 08, 1907.pdf",,,8-Mar-07,The United Opinion,,Home of R.H. Williams,"Bradford, Vermont",6379, Newspaper Article,,N/A,N/A,15-Mar-07,,LOC Conundrum Supper
459,"internal-pdf://2198729478/The United Opinion, October 08, 1897.pdf",,,"October 08, 1897",The United Opinion,,N/A,"Bradford, Vermont",6376, Newspaper Article,,N/A,N/A,"October 07, 1897",,LOC Conundrum Supper
460,"internal-pdf://2442186207/Vermont Phoenix, August 12, 1897.pdf",,,"August 12, 1897",Vermont Phoenix,,Town Hall,"Brattleboro, Vermont",6179, Newspaper Article,,Junior League,Junior League,"August 11, 1897",,LOC Conundrum Supper
461,"internal-pdf://1101513922/Vermont Phoenix, August 18, 1893.pdf",,"August 18, 1893","August 18, 1893",Vermont Phoenix,,Town Hall,"Brattleboro, Vermont",6181, Newspaper Article,,Epworth League,Epworth League,"August 16, 1893",,LOC Conundrum Supper
462,"internal-pdf://4084960725/Vermont Phoenix, November 29, 1895.pdf",,,"November 29, 1895",Vermont Phoenix,,Vestry,"Brattleboro, Vermont",6180, Newspaper Article,,The Young People’s Society of Christian Endeavor,The Young People’s Society of Christian Endeavor,"December 03, 1895",,LOC Conundrum Supper
463,"internal-pdf://4059243597/Vermont Phoenix, December 22, 1893.pdf",,,"December 22, 1893",Vermont Phoenix,,N/A,"Brattleboro, Vermont",6183, Newspaper Article,,The Ladies’ Aid Society,The Ladies’ Aid Society,"December 25, 1893",,LOC Conundrum Supper
464,"internal-pdf://0352406213/Vermont Phoenix, January 05, 1883.pdf",,,"January 05, 1883",Vermont Phoenix,,N/A,"Brattleboro, Vermont",6169, Newspaper Article,,The Ladies’ Aid Society,The Ladies’ Aid Society,"January 08, 1883",,LOC Conundrum Supper
465,"internal-pdf://2953234487/Vermont Phoenix, October 20, 1893.pdf",,,"October 20, 1893",Vermont Phoenix,,N/A,"Brattleboro, Vermont",6182, Newspaper Article,,Ladies of the Methodist Society,Ladies of the Methodist Society,N/A,,LOC Conundrum Supper
466,"internal-pdf://1129566406/Vermont Phoenix, September 24, 1897.pdf",,,"September 24, 1897",Vermont Phoenix,,Town Hall,"Brattleboro, Vermont",6184, Newspaper Article,,Young Ladies’ Aid Society,Young Ladies’ Aid Society,"October 01, 1897",,LOC Conundrum Supper
467,"internal-pdf://3289099766/The Vermont Watchman, January 20, 1897.pdf",,,"January 20, 1897",The Vermont Watchman,,Cheney’s hall,"Montpellier, Vermont",6152, Newspaper Article,,Christian Endeavor Society,Christian Endeavor Society,"January 14, 1897",,LOC Conundrum Supper
468,"internal-pdf://4146382456/The Vermont Watchman, November 01, 1893.pdf",,,"November 01, 1893,",The Vermont Watchman,,N/A,Montpelier,6153, Newspaper Article,,Lyceum League,Lyceum League,"October 25, 1893",,LOC Conundrum Supper
469,"internal-pdf://2448857185/Vernon County Censor, August 21, 1901.pdf",,,21-Aug-01,Vernon County Censor,,Church,"Virogua, Wisconsin",6439, Newspaper Article,,N/A,N/A,22-Aug-01,,LOC Conundrum Supper
470,"internal-pdf://4225590928/Vernon County Censor, April 26, 1911.pdf",,,26-Apr-11,Vernon County Censor,,Parlors of the Christian Church,"Virogua, Wisconsin",6440, Newspaper Article,,Philathean society,Philathean society,4-May-11,,LOC Conundrum Supper
471,"internal-pdf://2491428701/Virginia Gazette, January 28, 1899.pdf",,,"January 28, 1899",Virginia Gazette,,Courthouse,"Williamsburg, Virginia",6393, Newspaper Article,,Woman’s Auxiliary of the Episcopal Church,Woman’s Auxiliary of the Episcopal Church,"January 25, 1899",,LOC Conundrum Supper
472,"internal-pdf://2504167926/Virginian-Pilot, January 22, 1899.pdf",,,"January 22, 1899",Virginian-Pilot,Also mentioned on January 24.,N/A,"Norfolk, Virginia",6381, Newspaper Article,,The Ladies’ Auxiliary of the Bruton Episcopal Church,The Ladies’ Auxiliary of the Bruton Episcopal Church,"January 25, 1899",,LOC Conundrum Supper
473,"internal-pdf://2162473331/Virginian-Pilot., January 21, 1899.pdf",,,"January 21, 1899",Virginian-Pilot,Mentioned also on January 25.,Residence of Mr. Thomas Townsends,"Norfolk, Virginia",6382, Newspaper Article,,North Park Avenue Chapter of the St Petere’s P. E. Church,North Park Avenue Chapter of the St Petere’s P. E. Church,"January 26, 1899",,LOC Conundrum Supper
474,"internal-pdf://1981208324/Virginian-Pilot, October 25, 1899.pdf",,,"October 25, 1899",Virginian-Pilot,Also mentioned October 24. Menu included on October 25 issue.,Temperence hall,"Norfolk, Virginia",6383, Newspaper Article,,Owen’s Memorial Church,Owen’s Memorial Church,"October 24, 1899",,LOC Conundrum Supper
475,"internal-pdf://0164826621/The Wahpeton times, August 27, 1891.pdf",,,"August 27, 1891",The Wahpeton times,,D.E. Rice’s store,"Wahpeton, North Dakota",6415, Newspaper Article,,Ladies’ Aid society of the M.E. church,Ladies’ Aid society of the M.E. church,"September 02, 1891",,LOC Conundrum Supper
476,"internal-pdf://0632651476/The Washburn leader, April 16, 1904.pdf",,,16-Apr-04,The Washburn leader,,M.E. church,"Washburn, North Dakota",6411, Newspaper Article,,Epworth league of Washburn,Epworth league of Washburn,23-Apr-04,,LOC Conundrum Supper
477,"internal-pdf://2371195998/The Washburn leader, September 19, 1891.pdf",,,"September 19, 1891",The Washburn leader,"Same event is referenced in Courier Democrat, September 24, 1891 and in The Dickinson press, September 19, 1891",N/A,"Minot, North Dakota",6418, Newspaper Article,,Ladies of the Methodist church of Minot,Ladies of the Methodist church of Minot,N/A,,LOC Conundrum Supper
478,"internal-pdf://1723578341/The Washburn Times, May 16, 1901.pdf",,,16-May-01,The Washburn Times,,N/A,"Washburn, Wisconsin",6441, Newspaper Article,,R.N. of A.,R.N. of A.,N/A,,LOC Conundrum Supper
479,"internal-pdf://1849552528/Washington Standard, November 17, 1893.pdf",,,"November 17, 1893",Washington Standard,,N/A,"Olympia, Washington",6428, Newspaper Article,,Bellingham bay society,Bellingham bay society,N/A,,LOC Conundrum Supper
480,"internal-pdf://3427211701/The Watchman and Southron, December 09, 1896.pdf",,,"December 09, 1896",The Watchman and Southron,,Town Hall,"Sumter, South Carolina",5982, Newspaper Article,,Ladies of the Town,Ladies of the Town,"December 03, 1896",,LOC Conundrum Supper
481,"internal-pdf://0943947734/Waterbury Democrat, June 10, 1897.pdf",,,"June 10, 1897",Waterbury Democrat,,The grange,"Waterbury, Connecticut",6026, Newspaper Article,,The grange,The grange,"June 11, 1897",,LOC Conundrum Supper
482,"internal-pdf://3549976620/West Virginia Argus, April 08, 1897.pdf",,,"April 08, 1897",West Virginia Argus,,Lecture room of the church,"Kingwood, West Virginia",6434, Newspaper Article,,The Ladies’ Aid Society of the M.E. Church,The Ladies’ Aid Society of the M.E. Church,"April 14, 1897",,LOC Conundrum Supper
483,"internal-pdf://0661761149/The Western news, May 09, 1900.pdf",,,9-May-00,The Western news,,Templars Hall Victor Montana,"Stevensville, Montana",6294, Newspaper Article,,Ladies of the Presbyterian church,Ladies of the Presbyterian church,16-May-00,,LOC Conundrum Supper
484,"internal-pdf://2367027914/The western sentinel, December 01, 1892.pdf",,,"December 01, 1892",The western sentinel,,Belo House,"Winston-Salem, North Carolina",6408, Newspaper Article,,Wayside Workers,Wayside Workers,"November 25, 1892",,LOC Conundrum Supper
485,"internal-pdf://3135470982/The Wheeling Intelligencer, January 15, 1913.pdf",,,15-Jan-13,The Wheeling Intelligencer,,Colerain W.C.T.U. Hall,"Wheeling, West Virginia",6433, Newspaper Article,,Colerain Union Sabbath School,Colerain Union Sabbath School,16-Jan-13,,LOC Conundrum Supper
486,"internal-pdf://3291049069/The Wheeling Intelligencer, October 24, 1914.pdf",,,24-Oct-14,The Wheeling Intelligencer,,Chapel at Bethlehem,"Wheeling, West Virginia",6432, Newspaper Article,,JTBS Cub,JTBS Cub,22-Oct-14,,LOC Conundrum Supper
